Kategorija,id,Naslov,Ogledi,Glasovi,Število odgovorov,Ima sprejet odgovor,Avtor,Čas objave
highest-score,274849,Ambiguous Curve: can you follow the bicycle?,1575,32,5,False,,"Jan 10, 2013 at 0:13"
highest-score,4008337,How many &quot;prime&quot; rectangle tilings are there?,786,32,0,False,RavenclawPrefect,"Feb 1, 2021 at 16:10"
highest-score,3668949,Recent developments in the proof of fermat&#39;s last theorem,1359,32,0,False,user779120,"May 11, 2020 at 2:45"
highest-score,2789677,Witt&#39;s proof of Gelfand-Mazur / Ostrowski&#39;s theorem,1126,32,0,False,Torsten Schoeneberg,"May 21, 2018 at 6:32"
highest-score,831875,Definition of Bordism - Gluing Manifolds with Structure,807,32,0,False,Arpon,"Jun 12, 2014 at 15:31"
highest-score,815924,Connecting three houses to three utilities [duplicate],1557,32,0,False,M.S.E,"May 31, 2014 at 11:47"
highest-score,345889,How much do idempotent ultrafilters generate in terms of semigroups?,723,32,0,False,Jakub Konieczny,"Mar 29, 2013 at 18:26"
highest-score,3380375,"If I stretch a convex polygon, does the original fit into the streched version?",609,32,2,False,Dart,"Oct 4, 2019 at 10:57"
highest-score,750163,"Lee, Introduction to Smooth Manifolds Solutions",40334,31,1,True,D&#225;vid Natingga,"Apr 11, 2014 at 21:43"
highest-score,2889845,"Three coins are tossed. If one of them shows a tails, what is the probability that all three coins show tails? [duplicate]",10829,31,6,True,user3508140,"Aug 21, 2018 at 13:18"
highest-score,2073041,What is so wrong with thinking of real numbers as infinite decimals?,7330,31,11,True,,
highest-score,2976181,What is the smallest integer greater than 1 such that $\frac12$ of it is a perfect square and $\frac15$ of it is a perfect fifth power?,6986,31,6,True,J. DOEE,"Oct 29, 2018 at 14:15"
highest-score,1822665,Why does simplifying a function give it another limit [duplicate],6775,31,10,False,user347213,"Jun 11, 2016 at 23:58"
highest-score,3499645,"Why does a polynomial with real, simple roots change its sign between its roots?",6449,31,10,True,Marc Grec,"Jan 6, 2020 at 19:50"
highest-score,1113276,How to find center of a circle from only an arbitary arc of that circle,51499,31,10,False,Mizanur Rahman Nur,"Jan 21, 2015 at 9:47"
highest-score,717651,Why teach linear algebra before abstract algebra?,23322,31,7,True,,"Mar 19, 2014 at 2:04"
highest-score,1334369,Do &quot;other&quot; trigonometric functions than Tan Sin Cos and their derivatives exist?,4912,31,3,True,user5034361,"Jun 22, 2015 at 0:45"
highest-score,61252,Is there a name for this strange solution to a quadratic equation involving a square root?,7383,31,8,True,alok,"Sep 1, 2011 at 19:15"
highest-score,164709,Derivative of square root,322532,31,7,True,soniccool,"Jun 29, 2012 at 21:47"
highest-score,882877,Produce unique number given two integers,7400,31,15,True,Benedict Lewis,"Jul 30, 2014 at 18:06"
highest-score,1886890,What is the exact difficulty in defining a point in Euclidean geometry?,6014,31,8,True,Rajkumar,"Aug 9, 2016 at 10:17"
highest-score,1896422,Is $1+1 = 2$ true in any base?,6471,31,9,True,,"Aug 18, 2016 at 18:45"
highest-score,1652937,A good book for beginning Group theory,10466,31,12,False,Dark_Knight,"Feb 13, 2016 at 6:57"
highest-score,1472978,Is &quot;Linear Algebra Done Right&quot; good for a beginner?,31205,31,8,True,,"Oct 10, 2015 at 8:50"
highest-score,849179,Ways to study mathematics while commuting,5462,31,15,True,,
highest-score,190628,In Group theory proofs what is meant by &quot;well defined&quot;,42952,31,6,True,Soham,"Sep 3, 2012 at 20:35"
highest-score,2069507,Is every parallelogram a rectangle ??,9867,31,9,True,Harsh Kumar,"Dec 23, 2016 at 11:52"
highest-score,323033,example of a set that is closed and bounded but not compact,47027,31,10,True,Daniel,"Mar 6, 2013 at 22:57"
highest-score,164074,How to evaluate $ \lim \limits_{n\to \infty} \sum \limits_ {k=1}^n \frac{k^n}{n^n}$?,7269,31,6,False,martin,"Jun 28, 2012 at 8:05"
highest-score,2523391,Why must be the additive and multiplicative identities in a field be different?,5344,31,5,True,Francisco Jos&#233; Letterio,"Nov 16, 2017 at 17:36"
highest-score,268635,What is the probability that the center of the circle is contained within a triangle formed by choosing three random points on the circumference? [duplicate],70391,31,10,True,Paul,"Jan 1, 2013 at 14:34"
highest-score,131391,Proving $\sqrt 3$ is irrational. [duplicate],9043,31,10,True,Pedro,"Apr 13, 2012 at 17:51"
highest-score,169468,Can two topological spaces surject onto each other but not be homeomorphic?,2533,31,5,True,Seth,"Jul 11, 2012 at 13:40"
highest-score,1776194,Why do people accept the axiom of choice given the well ordering principle?,5824,31,2,True,Andrew,"May 8, 2016 at 3:03"
highest-score,1403735,Why is determinant a multilinear function?,25298,31,4,True,gbox,"Aug 20, 2015 at 10:01"
highest-score,1173495,Are there many fewer rational numbers than reals?,3904,31,6,True,Ivy,"Mar 3, 2015 at 14:04"
highest-score,239734,A Book for abstract Algebra,20297,31,10,True,Amr,"Nov 18, 2012 at 9:53"
highest-score,30437,Why in an inconsistent axiom system every statement is true? (For Dummies),6774,31,7,True,Adri&#225;n Barquero,"Apr 2, 2011 at 2:34"
highest-score,1986224,Closure of the union = Union of closures,39866,31,8,True,TheGeometer,"Oct 26, 2016 at 15:55"
highest-score,501320,Puzzles or short exercises illustrating mathematical problem solving to freshman students,8674,31,11,True,,
highest-score,945048,Is it true to say that &quot;it&#39;s not logically possible to prove something can&#39;t be done&quot;?,7926,31,15,False,Valdemar,"Sep 25, 2014 at 0:06"
highest-score,180615,The graph of xy = 1 is connected or not,4269,31,4,True,poton,"Aug 9, 2012 at 11:00"
highest-score,137944,meaning of topology and topological space,17159,31,6,True,user27515,"Apr 28, 2012 at 7:34"
highest-score,8326,A good quick introduction to Knot Theory?,12288,31,10,False,Ritwik Bose,"Oct 30, 2010 at 1:05"
highest-score,1920772,Why Two&#39;s Complement works,19057,31,5,True,Jhonny,"Sep 9, 2016 at 19:28"
highest-score,1864047,Why is uniqueness important for PDEs?,5573,31,8,True,csss,"Jul 19, 2016 at 8:18"
highest-score,1812580,Is $\sqrt{n!}$ a natural number?,6278,31,2,True,Mayank M.,"Jun 4, 2016 at 17:54"
highest-score,2370740,A dice is rolled until a $6$ occurs. What is the probability that the sum including the $6$ is even?,5332,31,5,True,Elk Chu,"Jul 25, 2017 at 2:30"
highest-score,1916384,Suppose $M$ is an $m \times n$ matrix such that all rows and columns of $M$ sum to $1$. Show that $m=n$,2106,31,4,True,Sarvesh Ravichandran Iyer,"Sep 6, 2016 at 9:15"
highest-score,18969,Why Are the Reals Uncountable?,8892,31,9,True,akdom,"Jan 25, 2011 at 19:56"
highest-score,257584,Can the graph of a bounded function ever have an unbounded derivative?,27498,31,5,False,cap,"Dec 13, 2012 at 1:58"
highest-score,33863,How to prove that the number $1!+2!+3!+...+n!$ is never square?,4338,31,3,False,Adam L.,"Apr 19, 2011 at 18:01"
highest-score,1007926,An Infinite Double Summation $\sum_{k=1}^{\infty} \sum_{n=1}^{\infty} \frac{1}{n^2k^2(n+k)^2}$?,3156,31,2,True,Hasan Kassim,"Nov 5, 2014 at 20:32"
highest-score,466043,Does $\det(A + B) = \det(A) + \det(B)$ hold?,231216,31,5,True,paul23,"Aug 12, 2013 at 18:39"
highest-score,177923,Non-closed subspace of a Banach space,10927,31,5,True,Sh4pe,"Aug 2, 2012 at 8:58"
highest-score,9422,An intuitive explanation of the Taylor expansion,24237,31,6,True,Jichao,"Nov 8, 2010 at 12:53"
highest-score,786483,Simply connected manifolds are orientable,6940,31,6,True,Xena,"May 8, 2014 at 14:11"
highest-score,89067,Prove $x = \sqrt[100]{\sqrt{3} + \sqrt{2}} + \sqrt[100]{\sqrt{3} - \sqrt{2}}$ is irrational,8639,31,4,True,Rashmirathi,"Dec 6, 2011 at 23:31"
highest-score,2425542,Apparent inconsistency of Lebesgue measure,2803,31,4,True,Jonatan B. Bastos,"Sep 11, 2017 at 17:08"
highest-score,2304956,Prove that $\prod_{n=2}^\infty \frac{1}{e^2}\left(\frac{n+1}{n-1}\right)^n=\frac{e^3}{4\pi}$,1123,31,6,True,Spot,"Jun 1, 2017 at 0:12"
highest-score,1812653,Is the empty set linearly independent or linearly dependent?,17689,31,7,False,taniya kapoor,"Jun 4, 2016 at 19:00"
highest-score,1261861,"Calculate in closed form $\int_0^1 \int_0^1 \frac{dx\,dy}{1-xy(1-x)(1-y)}$",1517,31,4,False,user 1591719,"May 2, 2015 at 11:56"
highest-score,216956,What is algebraic geometry?,5528,31,2,True,,"Oct 19, 2012 at 15:51"
highest-score,29777,Closed form for the sequence defined by $a_0=1$ and $a_{n+1} = a_n + a_n^{-1}$,3411,31,6,True,FUZxxl,"Mar 29, 2011 at 19:00"
highest-score,656183,Why does $\frac{1 }{ 99989999}$ generate the Fibonacci sequence?,3145,31,3,True,Queequeg,"Jan 29, 2014 at 17:00"
highest-score,375555,Why is $\frac{1}{\frac{1}{0}}$ undefined?,1479,31,7,True,Peter Olson,"Apr 28, 2013 at 20:11"
highest-score,2528225,How can I calculate $\alpha=\arccos\left(-\frac{1}{4}\right)$ without using a calculator?,28247,31,14,False,Dar&#237;o A. Guti&#233;rrez,"Nov 19, 2017 at 21:44"
highest-score,2179077,WolframAlpha says limit exists when it doesn&#39;t?,5478,31,3,True,shaqed,"Mar 9, 2017 at 12:28"
highest-score,681324,Solving $ \cos (\cos (\cos (\cos(x))))=\sin (\sin (\sin (\sin (x)))) $,2347,31,4,True,user129798,"Feb 18, 2014 at 21:26"
highest-score,374507,"Does $f(x) = f(2x)$ for all real $x$, imply that $f(x)$ is a constant function?",10540,31,2,True,Quark,"Apr 27, 2013 at 18:05"
highest-score,345501,Is $A \times B$ the same as $A \oplus B$?,5369,31,2,True,LJR,"Mar 29, 2013 at 7:47"
highest-score,239375,Why do new rules cause students to forget and misapply older rules?,1867,31,6,False,futurebird,"Nov 17, 2012 at 17:54"
highest-score,4262190,"Various ways to calculate $\int \sin(x) \cos(x) \, \mathrm{d}x$",2395,31,10,False,PrincessEev,"Sep 28, 2021 at 2:52"
highest-score,4207745,"How to think about a quotient sets modulo an equivalence relation, and well-defined functions on the quotient set.",3953,31,9,False,user324789,"Jul 26, 2021 at 17:51"
highest-score,1170021,Intuitive explanation of binomial coefficient,15860,31,6,False,Chris Kim,"Mar 1, 2015 at 7:13"
highest-score,4892592,Why does a product $\lim_{n\to\infty} \prod_{i=1}^n (1- \frac{1}{n+2i})$ lead to infinity?,3985,31,4,True,Erel Segal-Halevi,"Apr 3, 2024 at 18:41"
highest-score,287852,"Prove $\int_0^\infty \frac{\ln \tan^2 (ax)}{1+x^2}\,dx = \pi\ln \tanh(a)$",1746,31,6,True,Shobhit Bhatnagar,"Jan 27, 2013 at 2:56"
highest-score,1295138,What is the mathematical distinction between closed and open sets?,45069,31,8,True,Your neighbor Todorovich,"May 23, 2015 at 9:09"
highest-score,1143459,The idea behind the notion of dualizing sheaf,6861,31,1,False,Alex,"Feb 11, 2015 at 12:50"
highest-score,721784,Absolute value of complex exponential,164420,31,7,True,codedude,"Mar 22, 2014 at 3:26"
highest-score,521130,Expected Value of Flips Until HT Consecutively,61235,31,7,True,Dhruv,"Oct 10, 2013 at 6:25"
highest-score,158438,Why is there no functor $\mathsf{Group}\to\mathsf{AbGroup}$ sending groups to their centers?,6281,31,3,False,Corey545,"Jun 14, 2012 at 21:51"
highest-score,219731,Determinant of rank-one perturbations of (invertible) matrices,15446,31,4,True,Stefan Smith,"Oct 23, 2012 at 23:31"
highest-score,176279,All real functions are continuous,9156,31,5,True,gifty,"Jul 28, 2012 at 20:52"
highest-score,2372411,Question about Monty Hall if you already knew a bad door beforehand,3798,31,4,True,user152294,"Jul 26, 2017 at 15:26"
highest-score,456960,Should a high school introductory calculus class teach $\varepsilon$-$\delta$ proofs?,5283,31,11,False,David Zhang,"Aug 1, 2013 at 4:59"
highest-score,341643,Showing that $\int_0^1 \log(\sin \pi x)dx=-\log2$,14468,31,3,True,zytsang,"Mar 26, 2013 at 11:06"
highest-score,193702,Find an expression for the $n$-th derivative of $f(x)=e^{x^2}$,11335,31,9,True,Mykolas,"Sep 10, 2012 at 17:40"
highest-score,110303,Is a good GRE score enough for a non-math graduate to be accepted in a decent pure mathematics graduate program?,8990,31,6,True,,
highest-score,2468073,Why do I get a converging result when pressing cosine multiple times on a calculator? [duplicate],4653,31,6,True,sobosama,"Oct 11, 2017 at 18:56"
highest-score,344314,Showing that $\lim\limits_{n\to\infty}\sum^n_{k=1}\frac{1}{k}-\ln(n)=0.5772\ldots$ [duplicate],10383,31,2,True,,"Mar 28, 2013 at 1:34"
highest-score,123551,"Is a Fourier transform a change of basis, or is it a linear transformation?",13719,31,3,True,user541686,"Mar 23, 2012 at 9:13"
highest-score,14777,Why isn&#39;t there a uniform probability distribution over the positive real numbers?,24547,31,5,True,Casebash,"Dec 18, 2010 at 14:08"
highest-score,2617872,"What axioms G&#246;del is using, if any?",2625,31,2,False,Dave,"Jan 23, 2018 at 17:27"
highest-score,1430520,"Proving that $\arctan(x)+\arctan(1/x)=\pm \pi/2$, could this line of reasoning possibly be correct?",54017,31,12,True,Adrian,"Sep 11, 2015 at 5:59"
highest-score,1607314,"Conjecture ${\large\int}_0^\infty\left[\frac1{x^4}-\frac1{2x^3}+\frac1{12\,x^2}-\frac1{\left(e^x-1\right)x^3}\right]dx=\frac{\zeta(3)}{8\pi^2}$",1846,31,4,True,Vladimir Reshetnikov,"Jan 10, 2016 at 21:01"
highest-score,217016,When is $1^5 + 2^5 + \ldots + n^5$ a square?,967,31,5,True,sperners lemma,"Oct 19, 2012 at 18:10"
highest-score,3472796,Find all connected covering space of $\mathbb RP^2\vee \mathbb RP^2$,10403,31,1,True,Andrews,"Dec 11, 2019 at 18:02"
highest-score,1989389,Why can&#39;t linear maps map to higher dimensions?,12568,31,4,True,user3500869,"Oct 28, 2016 at 18:02"
highest-score,1335235,Facebook Question (Data Science),38192,31,8,True,Vincent,"Jun 22, 2015 at 17:47"
highest-score,1183652,Is every composite number the average of two primes?,4339,31,4,True,William Kurdahl,"Mar 10, 2015 at 11:30"
highest-score,21533,shortcut for finding a inverse  of matrix,209332,31,3,True,SpongeBob SquarePants,"Feb 11, 2011 at 15:08"
highest-score,1917647,Proving $E[X^4]=3σ^4$,72724,31,5,True,foooyoh,"Sep 7, 2016 at 8:35"
highest-score,422559,What is $\sum\limits_{i=1}^n \sqrt i\ $?,23837,31,5,True,V G,"Jun 17, 2013 at 7:31"
highest-score,2251364,Prove that $\Bbb{E}(|X-Y|) \le \Bbb{E}(|X+Y|)$ for i.i.d $X$ and $Y$,7128,31,3,True,Ramil,"Apr 25, 2017 at 12:55"
highest-score,46726,When do I use &quot;arbitrary&quot; and/or &quot;fixed&quot; in a proof?,14061,31,4,True,grackkle,"Jun 21, 2011 at 15:44"
highest-score,3053345,Exactly when and why can a Turing-machine not solve the halting problem?,5653,31,5,False,Bram28,"Dec 26, 2018 at 21:52"
highest-score,1858114,Name of this famous question?,3612,31,2,True,Hardik Shah,"Jul 13, 2016 at 12:18"
highest-score,880352,Are weird numbers more rare than prime numbers?,4860,31,2,True,Linus,"Jul 28, 2014 at 10:09"
highest-score,79861,Is ArcTan(2) a rational multiple of $\pi$?,19224,31,4,True,Joseph O&#39;Rourke,"Nov 7, 2011 at 14:11"
highest-score,23259,Is the cross product of two unit vectors itself a unit vector?,59762,31,3,True,May Oakes,"Feb 22, 2011 at 19:11"
highest-score,681750,Sum of two periodic functions is periodic?,40610,31,4,True,Bibek Subedi,"Feb 19, 2014 at 5:38"
highest-score,252272,Is trace invariant under cyclic permutation with rectangular matrices?,17427,31,2,True,the_candyman,"Dec 6, 2012 at 12:51"
highest-score,203023,"A finite, cancellative semigroup is a group",12208,31,5,True,,"Sep 26, 2012 at 19:56"
highest-score,4525875,"Conjecture: $\lim\limits_{x\to 0}(x!\,x!!\,x!!!\,x!!!!\cdots )^{-1/x}\stackrel?=e$",1797,31,4,True,Barackouda,"Sep 6, 2022 at 10:31"
highest-score,2172473,Generalisation of integers for infinite length?,1570,31,3,True,Glen O,"Mar 5, 2017 at 4:39"
highest-score,2062522,Each person has at most 3 enemies in a group. Show that we can separate them into two groups where a person will have at most one enemy in the group.,4529,31,4,False,user 6663629,"Dec 17, 2016 at 18:13"
highest-score,427910,A simple way to obtain $\prod_{p\in\mathbb{P}}\frac{1}{1-p^{-s}}=\sum_{n=1}^{\infty}\frac{1}{n^s}$.,3534,31,3,True,Elias Costa,"Jun 24, 2013 at 0:11"
highest-score,239288,Infinite expected value of a random variable,42692,31,3,True,lodhb,"Nov 17, 2012 at 15:32"
highest-score,210735,Is the Cantor set made of interval endpoints?,7111,31,5,False,Forever Mozart,"Oct 10, 2012 at 22:05"
highest-score,50340,What is the intuition behind the &quot;par&quot; operator in linear logic?,6675,31,6,True,hmp,"Jul 8, 2011 at 14:56"
highest-score,2662304,Real life uses of prime numbers (in physics/engineering) [closed],10746,31,6,False,Morlock,"Feb 22, 2018 at 20:28"
highest-score,333168,Pure Mathematics Vs Applied Mathematics Job Prospects [closed],34438,31,5,True,Samal,"Mar 17, 2013 at 21:47"
highest-score,104656,Popular math books with depth,3555,31,7,False,,
highest-score,47582,Why is it that Complex Numbers are algebraically closed?,13880,31,5,True,Tpofofn,"Jun 25, 2011 at 13:49"
highest-score,2840563,"Examples of theorems that are true conceptually, but false computationally",2896,31,2,True,Elliott Macneil,"Jul 4, 2018 at 11:37"
highest-score,2055398,Mathematics behind this card trick,22112,31,5,True,A. Napster,"Dec 12, 2016 at 13:16"
highest-score,1431042,How do you calculate a sum over a polynomial?,11654,31,2,True,Amos,"Sep 11, 2015 at 15:31"
highest-score,1109142,Proving that the dot product is distributive?,38067,31,2,False,user197402,"Jan 18, 2015 at 14:58"
highest-score,966466,What is the difference between multinomial and categorical distribution?,17846,31,2,False,,"Oct 10, 2014 at 9:10"
highest-score,710481,What is the difference between Cartesian and Tensor product of two vector spaces,20946,31,2,True,Tony,"Mar 13, 2014 at 6:20"
highest-score,149817,Derivative of cross-product of two vectors,152131,31,2,False,dtg,"May 25, 2012 at 20:53"
highest-score,44454,Isomorphism between complex numbers minus zero and unit circle,5886,31,2,True,user10,"Jun 9, 2011 at 22:35"
highest-score,1958252,Gauss-divergence theorem for volume integral of a gradient field,17136,31,3,True,Mohamed Ouda,"Oct 7, 2016 at 16:44"
highest-score,1072206,What does &quot;removing a point&quot; have to do with homeomorphisms?,7640,31,6,True,ashman,"Dec 17, 2014 at 17:06"
highest-score,519279,Why is the matrix norm $||A||_1$ maximum absolute column sum of the matrix?,29995,31,1,True,Cancan,"Oct 8, 2013 at 19:06"
highest-score,296170,Isotopy and Homotopy,11259,31,1,True,Koushik,"Feb 6, 2013 at 9:52"
highest-score,160870,Group presentation for semidirect products,6243,31,1,True,dave,"Jun 20, 2012 at 17:37"
highest-score,110334,Line integration in complex analysis,8643,31,4,False,Jim_CS,"Feb 17, 2012 at 12:53"
highest-score,1821075,Tough integrals that can be easily beaten by using simple techniques,33333,31,5,False,Sophie Agnesi,"Jun 10, 2016 at 15:27"
highest-score,1339170,"Does there exist a continuous function from [0,1] to R that has uncountably many local maxima?",3730,31,3,True,math_lover,"Jun 25, 2015 at 18:15"
highest-score,106786,$A^m\hookrightarrow A^n$ implies $m\leq n$ for a ring $A\neq 0$,6306,31,3,True,Martin Worsek,"Feb 7, 2012 at 20:44"
highest-score,61279,Calculate logarithms by hand,33795,31,7,False,Eberhardt,"Sep 1, 2011 at 21:50"
highest-score,544,What is a Markov Chain?,7245,31,5,True,Adam C.,"Jul 23, 2010 at 8:16"
highest-score,2971315,How do I combine standard deviations of two groups?,104346,31,4,True,Nicolas Melan&#231;on,"Oct 25, 2018 at 21:28"
highest-score,218653,Understanding the assumptions in the Reverse Fatou&#39;s Lemma,19159,31,2,True,tentaclenorm,"Oct 22, 2012 at 12:02"
highest-score,159766,An example of a norm which can&#39;t be generated by an inner product,14391,31,2,False,luysii,"Jun 18, 2012 at 3:57"
highest-score,5042515,What is the lowest degree polynomial that turns a circle into a nontrivial knot?,1989,31,2,True,Zoe Allen,Mar 5 at 21:13
highest-score,1935724,Why is Axiom of Choice required for the proof of countable union of countable sets is countable?,6624,31,4,True,Tommjjerry,"Sep 21, 2016 at 14:17"
highest-score,1001611,Polynomials as vector spaces?,69281,31,7,False,tokola,"Nov 1, 2014 at 20:49"
highest-score,776679,Integral $\int_0^\infty \log(1+x^2)\frac{\cosh{\frac{\pi x}{2}}}{\sinh^2{\frac{\pi x}{2}}}\mathrm dx=2-\frac{4}{\pi}$,2491,31,4,True,Jeff Faraci,"May 1, 2014 at 6:01"
highest-score,306358,"I want to get good at math, any good book suggestions? [closed]",29410,31,4,False,,
highest-score,177067,L&#39;hospital rule for two variable.,65733,31,4,True,Kns,"Jul 31, 2012 at 7:19"
highest-score,60522,The circle bundle of $S^2$ and real projective space,8830,31,4,True,Thomas Rot,"Aug 29, 2011 at 14:17"
highest-score,24294,Is there a good way to compute Christoffel Symbols,25213,31,3,True,Eric Haengel,"Feb 28, 2011 at 21:26"
highest-score,754742,Integrating a Partial Derivative,69415,31,1,True,Anthony,"Apr 15, 2014 at 12:29"
highest-score,137876,A subring of the field of fractions of a PID is a PID as well.,7678,31,2,True,CC_Azusa,"Apr 28, 2012 at 1:38"
highest-score,114378,When does every group with order divisible by $n$ have a subgroup of order $n$?,5406,31,3,True,Mikko Korhonen,"Feb 28, 2012 at 9:19"
highest-score,1403122,When do two functions become equal?,31425,31,4,True,Tommjjerry,"Aug 19, 2015 at 19:44"
highest-score,520615,$(12)$ and $(123\dots n)$ are generators of $S_n$,11309,31,3,False,Dan H,"Oct 9, 2013 at 20:15"
highest-score,199842,Trying to understand why circle area is not $2 \pi r^2$,7173,31,6,True,ByteFlinger,"Sep 20, 2012 at 17:19"
highest-score,2386040,Can we express any positive real number with arbitrary precision using a ratio of two prime numbers? [duplicate],2010,31,4,True,,"Aug 7, 2017 at 21:29"
highest-score,1939519,What is(are) the reason(s) for defining things in the following way?,1462,31,4,False,,"Sep 24, 2016 at 14:28"
highest-score,1259364,Show that $l^2$ is a Hilbert space,43553,31,5,True,user235727,"Apr 30, 2015 at 16:27"
highest-score,346375,Commutative property of ring addition,5316,31,3,True,Jeyekomon,"Mar 30, 2013 at 10:32"
highest-score,261704,Show that the direct sum of a kernel of a projection and its image create the originating vector space.,27151,31,2,True,iblue,"Dec 18, 2012 at 21:12"
highest-score,14109,When does the distributive law apply to ideals in a commutative ring?,4252,31,2,True,Timothy Wagner,"Dec 13, 2010 at 0:16"
highest-score,46656,(Why) is topology nonfirstorderizable?,4515,31,1,True,Hans-Peter Stricker,"Jun 21, 2011 at 6:46"
highest-score,4817838,Is it possible to &quot;sort&quot; a continuous function?,3125,31,3,True,Dannyu NDos,"Dec 1, 2023 at 1:07"
highest-score,3333357,"Intuitive reasons for why approximating arclength with lines is good, but approximating surface area with polygons fails?",1855,31,3,True,,"Aug 25, 2019 at 1:43"
highest-score,1512743,An identity for the factorial function,2732,31,8,True,,"Nov 4, 2015 at 12:42"
highest-score,1115240,Can a non-periodic function have a Fourier series?,42034,31,6,True,sgsdfg,"Jan 22, 2015 at 16:39"
highest-score,788412,"The difference between hermitian, symmetric and self adjoint operators.",18688,31,3,True,Ellya,"May 9, 2014 at 21:58"
highest-score,330553,Proof that the hypergeometric distribution with large $N$ approaches the binomial distribution.,37370,31,2,True,ithisa,"Mar 14, 2013 at 19:17"
highest-score,300901,Material in a first course in algebraic geometry?,3817,31,5,True,,"Feb 12, 2013 at 4:50"
highest-score,149915,Rainbow Hats Puzzle,26759,31,9,True,Matt,"May 26, 2012 at 3:45"
highest-score,34217,Field automorphisms of $\mathbb{Q}$ - shouldn&#39;t there be only one?,11106,31,2,True,badatmath,"Apr 21, 2011 at 2:35"
highest-score,4265182,How do you find Pythagorean triples that approximately correspond to a right triangle with a given angle?,1736,31,6,True,Mike Pierce,"Oct 1, 2021 at 14:41"
highest-score,1642034,ELI5: Riemann-integrable vs Lebesgue-integrable,33066,31,2,True,AlphaOmega,"Feb 5, 2016 at 16:54"
highest-score,1192825,Why use Einstein Summation Notation?,11770,31,2,True,rspencer,"Mar 16, 2015 at 19:40"
highest-score,682328,Equivalence of categories of vector bundles and locally free sheaves,6031,31,1,True,Irfan Kadikoylu,"Feb 19, 2014 at 16:54"
highest-score,141879,Examples of absolutely continuous functions that are not Lipschitz.,22637,31,3,True,Linda,"May 6, 2012 at 18:43"
highest-score,46313,Book/tutorial recommendations: acquiring math-oriented reading proficiency in German,3941,31,6,False,,
highest-score,5278,"Why is $\mathbb{Q}(t,\sqrt{t^3-t})$ not a purely transcendental extension of $\mathbb{Q}$?",3486,31,2,True,shirker,"Sep 23, 2010 at 5:16"
highest-score,2336344,An integral for which I don&#39;t trust WolframAlpha,4140,31,2,True,user457218,"Jun 26, 2017 at 3:01"
highest-score,1692697,If every absolutely convergent series is convergent then $X$ is Banach,18336,31,3,True,Learnmore,"Mar 11, 2016 at 7:54"
highest-score,1658073,Value of the product: $ \sqrt{2} \sqrt{2 - \sqrt{2}} \sqrt{2 - \sqrt{2 - \sqrt{2}}} \sqrt{2 - \sqrt{2 - \sqrt{2-\sqrt{2}}}} \cdots $ =?,831,31,2,True,Kartik Sharma,"Feb 16, 2016 at 10:42"
highest-score,929380,What is wrong with the following u-substitution?,4519,31,5,False,Josh,"Sep 13, 2014 at 4:23"
highest-score,392174,Applications of information geometry to the natural sciences,6341,31,4,True,user77891,"May 15, 2013 at 6:40"
highest-score,340744,What do the symbols d/dx and dy/dx mean?,186531,31,5,True,Kami,"Mar 25, 2013 at 15:42"
highest-score,1151817,Integrate $ \int_{0}^{\frac{\pi}{4}}\tan^{-1}\left(\frac{\sqrt{2}\cos3 \phi}{\left(2\cos 2 \phi+ 3\right)\sqrt{\cos 2 \phi}}\right)d\phi$,1548,31,2,True,Tolaso,"Feb 17, 2015 at 9:28"
highest-score,1096592,Solving Rubik&#39;s cube and other permutation puzzles,8298,31,2,True,user21820,"Jan 8, 2015 at 15:52"
highest-score,2205638,Iterated integral question,820,31,4,False,Kate Sinclair,"Mar 27, 2017 at 17:51"
highest-score,858268,Converting recursive equations into matrices,14346,31,4,False,nerdier.js,"Jul 6, 2014 at 20:16"
highest-score,305642,How to find surface normal of a triangle,117269,31,3,True,acer,"Feb 16, 2013 at 17:40"
highest-score,101005,Right adjoints preserve limits,8448,31,6,False,Bruno Stonek,"Jan 21, 2012 at 14:36"
highest-score,5564,Why an inconsistent formal system can prove everything?,9355,31,4,True,Gadi A,"Sep 27, 2010 at 12:37"
highest-score,1182795,What is the intuition for semi-continuous functions?,6143,31,4,False,mononono,"Mar 9, 2015 at 20:24"
highest-score,415759,"Is the image of a Borel subset of $[0,1]$ under a differentiable map still a Borel set?",2044,31,1,True,23rd,"Jun 9, 2013 at 18:43"
highest-score,148250,What is the idea of a monodromy?,7814,31,1,True,user10676,"May 22, 2012 at 15:33"
highest-score,56673,Does equality of characteristic polynomials guarantee equivalence of matrices?,26276,31,2,True,jzadeh,"Aug 10, 2011 at 8:54"
highest-score,13889,Motivating Cohomology,4408,31,4,True,,"Dec 11, 2010 at 9:46"
highest-score,3146016,What are the best books to study Neural Networks from a purely mathematical perspective?,8228,31,7,False,Ile,"Mar 13, 2019 at 3:03"
highest-score,1096434,Can both $x$ and $\sin(x)$ be rational at the same time?,807,31,2,True,nix,"Jan 8, 2015 at 13:28"
highest-score,836569,What is the intuition behind the Poisson distribution&#39;s function?,9101,31,2,True,Guy,"Jun 16, 2014 at 20:37"
highest-score,764727,Concrete FFT polynomial multiplication example,34778,31,2,True,alh,"Apr 22, 2014 at 17:21"
highest-score,219738,"Showing that $f = 0 $ a.e. if for any measurable set $E$, $\int_E f = 0$",14377,31,2,False,George,"Oct 23, 2012 at 23:42"
